id,title,description,availability,condition,link,image_link,brand,google_product_category,fb_product_category,price,color,pattern,size,material
MB-PJF-005-03M,Baby Colorful Hearts Mini Baby Full Set,Baby Colorful Hearts Mini Baby Full Set,in stock,new,https://www.adoreaboo.com/store/item/Baby+Colorful+Hearts+Mini+Baby+Full+Set?id=46,https://www.adoreaboo.com/aalam/stock/item/46/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,560.0 INR,Pink,Heart,0-3M,Cotton
MB-PJF-005-36M,Baby Colorful Hearts Mini Baby Full Set,Baby Colorful Hearts Mini Baby Full Set,in stock,new,https://www.adoreaboo.com/store/item/Baby+Colorful+Hearts+Mini+Baby+Full+Set?id=47,https://www.adoreaboo.com/aalam/stock/item/47/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,560.0 INR,Pink,Heart,3-6M,Cotton
MB-PJF-005-69M,Baby Colorful Hearts Mini Baby Full Set,Baby Colorful Hearts Mini Baby Full Set,out of stock,new,https://www.adoreaboo.com/store/item/Baby+Colorful+Hearts+Mini+Baby+Full+Set?id=48,https://www.adoreaboo.com/aalam/stock/item/48/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,560.0 INR,Pink,Heart,6-9M,Cotton
MB-PJF-005-912M,Baby Colorful Hearts Mini Baby Full Set,Baby Colorful Hearts Mini Baby Full Set,in stock,new,https://www.adoreaboo.com/store/item/Baby+Colorful+Hearts+Mini+Baby+Full+Set?id=49,https://www.adoreaboo.com/aalam/stock/item/49/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,630.0 INR,Pink,Heart,9-12M,Cotton
MB-PJF-005-1Y2Y,Baby Colorful Hearts Mini Baby Full Set,Baby Colorful Hearts Mini Baby Full Set,in stock,new,https://www.adoreaboo.com/store/item/Baby+Colorful+Hearts+Mini+Baby+Full+Set?id=50,https://www.adoreaboo.com/aalam/stock/item/50/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,630.0 INR,Pink,Heart,1-2Y,Cotton
MB-PJF-007-03M,Baby Gray Mickey Mini Baby Full Set,Baby Gray Mickey Mini Baby Full Set,in stock,new,https://www.adoreaboo.com/store/item/Baby+Gray+Mickey+Mini+Baby+Full+Set?id=51,https://www.adoreaboo.com/aalam/stock/item/51/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,560.0 INR,White,Mickey Mouse,0-3M,Cotton
MB-PJF-007-36M,Baby Gray Mickey Mini Baby Full Set,Baby Gray Mickey Mini Baby Full Set,in stock,new,https://www.adoreaboo.com/store/item/Baby+Gray+Mickey+Mini+Baby+Full+Set?id=52,https://www.adoreaboo.com/aalam/stock/item/52/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,560.0 INR,White,Mickey Mouse,3-6M,Cotton
MB-PJF-007-69M,Baby Gray Mickey Mini Baby Full Set,Baby Gray Mickey Mini Baby Full Set,in stock,new,https://www.adoreaboo.com/store/item/Baby+Gray+Mickey+Mini+Baby+Full+Set?id=53,https://www.adoreaboo.com/aalam/stock/item/53/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,560.0 INR,White,Mickey Mouse,6-9M,Cotton
MB-PJF-007-912M,Baby Gray Mickey Mini Baby Full Set,Baby Gray Mickey Mini Baby Full Set,in stock,new,https://www.adoreaboo.com/store/item/Baby+Gray+Mickey+Mini+Baby+Full+Set?id=54,https://www.adoreaboo.com/aalam/stock/item/54/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,630.0 INR,White,Mickey Mouse,9-12M,Cotton
MB-PJF-007-1Y2Y,Baby Gray Mickey Mini Baby Full Set,Baby Gray Mickey Mini Baby Full Set,in stock,new,https://www.adoreaboo.com/store/item/Baby+Gray+Mickey+Mini+Baby+Full+Set?id=55,https://www.adoreaboo.com/aalam/stock/item/55/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,630.0 INR,White,Mickey Mouse,1-2Y,Cotton
MB-PJF-003-03M,Baby Green Mickey Mini Baby Full Set,Baby Green Mickey Mini Baby Full Set,in stock,new,https://www.adoreaboo.com/store/item/Baby+Green+Mickey+Mini+Baby+Full+Set?id=56,https://www.adoreaboo.com/aalam/stock/item/56/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,560.0 INR,Green,Mickey Mouse,0-3M,Cotton
MB-PJF-003-36M,Baby Green Mickey Mini Baby Full Set,Baby Green Mickey Mini Baby Full Set,out of stock,new,https://www.adoreaboo.com/store/item/Baby+Green+Mickey+Mini+Baby+Full+Set?id=57,https://www.adoreaboo.com/aalam/stock/item/57/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,560.0 INR,Green,Mickey Mouse,3-6M,Cotton
MB-PJF-003-69M,Baby Green Mickey Mini Baby Full Set,Baby Green Mickey Mini Baby Full Set,out of stock,new,https://www.adoreaboo.com/store/item/Baby+Green+Mickey+Mini+Baby+Full+Set?id=58,https://www.adoreaboo.com/aalam/stock/item/58/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,560.0 INR,Green,Mickey Mouse,6-9M,Cotton
MB-PJF-003-912M,Baby Green Mickey Mini Baby Full Set,Baby Green Mickey Mini Baby Full Set,in stock,new,https://www.adoreaboo.com/store/item/Baby+Green+Mickey+Mini+Baby+Full+Set?id=59,https://www.adoreaboo.com/aalam/stock/item/59/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,630.0 INR,Green,Mickey Mouse,9-12M,Cotton
MB-PJF-003-1Y2Y,Baby Green Mickey Mini Baby Full Set,Baby Green Mickey Mini Baby Full Set,in stock,new,https://www.adoreaboo.com/store/item/Baby+Green+Mickey+Mini+Baby+Full+Set?id=60,https://www.adoreaboo.com/aalam/stock/item/60/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,630.0 INR,Green,Mickey Mouse,1-2Y,Cotton
MB-PJF-002-03M,Baby Colorful Cute Animals Mini Baby Full Set,Baby Colorful Cute Animals Mini Baby Full Set,in stock,new,https://www.adoreaboo.com/store/item/Baby+Colorful+Cute+Animals+Mini+Baby+Full+Set?id=61,https://www.adoreaboo.com/aalam/stock/item/61/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,560.0 INR,White,Animals,0-3M,Cotton
MB-PJF-002-36M,Baby Colorful Cute Animals Mini Baby Full Set,Baby Colorful Cute Animals Mini Baby Full Set,in stock,new,https://www.adoreaboo.com/store/item/Baby+Colorful+Cute+Animals+Mini+Baby+Full+Set?id=62,https://www.adoreaboo.com/aalam/stock/item/62/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,560.0 INR,White,Animals,3-6M,Cotton
MB-PJF-002-69M,Baby Colorful Cute Animals Mini Baby Full Set,Baby Colorful Cute Animals Mini Baby Full Set,in stock,new,https://www.adoreaboo.com/store/item/Baby+Colorful+Cute+Animals+Mini+Baby+Full+Set?id=63,https://www.adoreaboo.com/aalam/stock/item/63/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,560.0 INR,White,Animals,6-9M,Cotton
MB-PJF-002-912M,Baby Colorful Cute Animals Mini Baby Full Set,Baby Colorful Cute Animals Mini Baby Full Set,in stock,new,https://www.adoreaboo.com/store/item/Baby+Colorful+Cute+Animals+Mini+Baby+Full+Set?id=64,https://www.adoreaboo.com/aalam/stock/item/64/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,630.0 INR,White,Animals,9-12M,Cotton
MB-PJF-002-1Y2Y,Baby Colorful Cute Animals Mini Baby Full Set,Baby Colorful Cute Animals Mini Baby Full Set,in stock,new,https://www.adoreaboo.com/store/item/Baby+Colorful+Cute+Animals+Mini+Baby+Full+Set?id=65,https://www.adoreaboo.com/aalam/stock/item/65/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,630.0 INR,White,Animals,1-2Y,Cotton
MB-PJF-006-03M,Baby White Dino Mini Baby Full Set,Baby White Dino Mini Baby Full Set,in stock,new,https://www.adoreaboo.com/store/item/Baby+White+Dino+Mini+Baby+Full+Set?id=66,https://www.adoreaboo.com/aalam/stock/item/66/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,560.0 INR,White,Animals,0-3M,Cotton
MB-PJF-006-36M,Baby White Dino Mini Baby Full Set,Baby White Dino Mini Baby Full Set,in stock,new,https://www.adoreaboo.com/store/item/Baby+White+Dino+Mini+Baby+Full+Set?id=67,https://www.adoreaboo.com/aalam/stock/item/67/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,560.0 INR,White,Animals,3-6M,Cotton
