ID,ITEM NAME,ITEM TYPE,ITEM CODE,SALE PRICE,SALE DISCOUNT RATE,SALE DISCOUNT PRICE,SALE DISCOUNT MODE,CURRENT STOCK,IS PUBLIC,PROPERTY:Colour,PROPERTY:Fabric,PROPERTY:Feeding Maxi,PROPERTY:Neck,PROPERTY:Size,PROPERTY:Skirt Length,PROPERTY:Sleeve Type,PROPERTY:Total Length,PROPERTY:__category
"137","Royal Blue","Saree Contours","RBL01","1190.00","25.00","297.50","rate","7.0","True","Cobalt",,,,"Chunky","Micro",,,"Saree Contours"
"138","Denim","Saree Contours","DENIMX02","1190.00","25.00","297.50","rate","176.0","True","Denim",,,,"Skinny","Mini",,,"Saree Contours"
"139","Royal Blue","Saree Contours","RBL02","1190.00","25.00","297.50","rate","","True","Cobalt",,,,"Chunky","Mini",,,"Saree Contours"
"140","Denim","Saree Contours","DENIMX03","1190.00","25.00","297.50","rate","80.0","True","Denim",,,,"Skinny","Maxi",,,"Saree Contours"
"141","Denim","Saree Contours","DENIMX01","1190.00","25.00","297.50","rate","116.0","True","Denim",,,,"Skinny","Micro",,,"Saree Contours,clearout"
"142","Denim","Saree Contours","DENIMS03","1190.00","25.00","297.50","rate","2.0","True","Denim",,,,"Skubby","Maxi",,,"Saree Contours"
"143","Denim","Saree Contours","DENIMS02","1190.00","25.00","297.50","rate","","True","Denim",,,,"Skubby","Mini",,,"Saree Contours"
"144","Denim","Saree Contours","DENIMS01","1190.00","25.00","297.50","rate","2.0","True","Denim",,,,"Skubby","Micro",,,"Saree Contours"
"145","Denim","Saree Contours","DENIMM02","1190.00","25.00","297.50","rate","55.0","True","Denim",,,,"Plumpy","Mini",,,"clearout,Saree Contours"
"146","Denim","Saree Contours","DENIMM03","1190.00","25.00","297.50","rate","6.0","True","Denim",,,,"Plumpy","Maxi",,,"Saree Contours"
"147","Denim","Saree Contours","DENIMM01","1190.00","25.00","297.50","rate","108.0","True","Denim",,,,"Plumpy","Micro",,,"Saree Contours"
"148","Denim","Saree Contours","DENIML03","1190.00","25.00","297.50","rate","","True","Denim",,,,"Chunky","Maxi",,,"Saree Contours"
"149","Denim","Saree Contours","DENIML02","1190.00","25.00","297.50","rate","","True","Denim",,,,"Chunky","Mini",,,"Saree Contours"
"151","Denim","Saree Contours","DENIML01","1190.00","25.00","297.50","rate","15.0","True","Denim",,,,"Chunky","Micro",,,"clearout,Saree Contours"
"160","Dolly","Ready to Wear Blouses","DOLLYDENIMXL","690.00","25.00","172.50","rate","77.0","True","Denim",,,,"XL",,,,
"161","Dolly","Ready to Wear Blouses","DOLLYPINEL","690.00","25.00","172.50","rate","86.0","True","Pine",,,,"L",,,,
